window_index,log_likelihood
792,-21.730864810105356
793,-18.555827293918743
794,-17.604738328494726
795,-24.060782259969084
796,-21.30978082361282
797,-31.7165269934406
798,-9.9791086103912
799,-9.9791086103912
800,-9.9791086103912
801,-9.9791086103912
802,-23.807764798205252
803,-39.4480409254792
804,-27.61759889098902
805,-21.30978082361282
806,-21.576330141617788
807,-26.844354621238462
808,-27.80652736352393
809,-29.734289070266655
810,-9.9791086103912
811,-15.679778129939486
812,-10.563250968823937
813,-10.563250968823937
814,-20.55455971502385
815,-36.932043971898075
816,-40.07111756370718
817,-31.334300152678743
818,-21.3105339878993
819,-21.215733351537324
820,-21.174288985357496
821,-20.1374696742401
822,-28.998474147349814
823,-9.9791086103912
824,-14.760866000160881
825,-23.695976760448335
826,-22.99663181080916
827,-20.566106718834835
828,-13.479321858791085
829,-18.07501501103245
830,-21.194378899943732
831,-21.3105339878993
832,-24.983003619554015
833,-17.470137904497587
834,-19.418866253208872
835,-21.431855176877693
836,-21.174288985357496
837,-24.983003619554015
838,-22.83503359104949
839,-14.540326511915938
840,-14.45027674588849
841,-14.540326511915938
842,-29.522214699991522
843,-15.861307892876875
844,-23.17660613349185
845,-20.975542082678984
846,-19.451303710352605
847,-22.375415176491735
848,-21.30978082361282
849,-9.9791086103912
850,-9.9791086103912
851,-9.9791086103912
852,-25.77895715765771
853,-9.9791086103912
854,-13.292353777869636
855,-26.785543229937915
856,-24.719405888188582
857,-26.946968723897523
858,-20.450074557241223
859,-21.194378899943732
860,-9.9791086103912
861,-18.898649341041136
862,-22.281343220356646
863,-24.983003619554015
864,-18.888825178662913
865,-21.30978082361282
866,-21.3105339878993
867,-24.983003619554015
868,-21.194378899943732
869,-24.23038826029308
870,-18.74481210609989
871,-22.737176898888134
872,-58.18414241191388
873,-10.563250968823937
874,-10.563250968823937
875,-10.563250968823937
876,-10.563250968823937
877,-10.563250968823937
878,-10.563250968823937
879,-10.563250968823937
880,-10.563250968823937
881,-21.633825962365012
882,-27.915903303325823
883,-20.068907615762942
884,-29.875234204632886
885,-18.584454429132872
886,-18.25296041629337
887,-28.44816300232912
888,-26.328771018551205
889,-25.643893149595705
890,-19.156418646343134
891,-18.871923700415866
892,-23.38070396155546
893,-19.05043689976346
894,-20.192227195893008
895,-36.50203684896767
896,-29.524231004161877
897,-29.524231004161877
898,-29.524231004161877
899,-29.524231004161877
900,-29.524231004161877
901,-27.979466927181548
902,-26.112587894771266
903,-27.42441837100723
904,-30.763887443283085
905,-24.205552708085367
906,-29.333214724979356
907,-36.68894391215012
908,-28.17469910341748
909,-21.194378899943732
910,-24.983003619554015
911,-26.0356613234334
912,-34.619680817009055
913,-19.584570342501646
914,-18.74481210609989
915,-26.318904094078135
916,-17.934863617664906
917,-25.665724504116028
918,-26.158217277189703
919,-18.25020054583435
920,-19.409144382541715
921,-15.866316922387265
922,-15.812415914279184
923,-16.94277487366595
924,-20.89820640397779
925,-18.003803151969368
926,-27.111659067346416
927,-37.01425630950016
928,-35.216041378065505
929,-37.01425630950016
930,-29.42853662146567
931,-31.11914008602509
932,-29.42853662146567
933,-20.948017678986602
934,-22.309318366212683
935,-19.387973489599602
936,-19.405671408573316
937,-26.767248514554407
938,-20.749084200817048
939,-22.201934605017627
940,-21.3105339878993
941,-15.954434978413012
942,-14.540326511915938
943,-14.52500505087805
944,-15.12651824518535
945,-20.823849001051354
946,-25.63076734075072
947,-14.52500505087805
948,-15.734859134136189
949,-16.571515656804312
950,-23.639127298136742
951,-23.974030642561264
952,-19.628538411680452
953,-22.407055749226874
954,-20.039095341051652
955,-20.11826808231638
956,-21.092466710001958
957,-15.514046628134121
958,-16.667469246371077
959,-21.209580314537114
960,-16.52659723630422
961,-16.944393119151957
962,-15.316194081145609
963,-38.45534648362871
964,-33.72216725447221
965,-13.467512169336157
966,-32.31736953776781
967,-11.99091034477239
968,-11.498131961712792
969,-20.02198234794576
970,-28.414330680675707
971,-21.470032731316813
972,-26.092515311006004
973,-17.676691157899402
974,-20.457756490171857
975,-21.55689516988259
976,-33.896800938815225
977,-31.913288296290315
978,-25.658602979040648
979,-26.46970995907661
980,-21.945701778789903
981,-28.709798047845695
982,-22.167900452799575
983,-27.3128769300176
984,-26.09109312319671
985,-26.42541572456308
986,-26.484842323754897
987,-20.948017678986602
988,-21.287038358134797
989,-27.969481169842343
990,-22.390055750414795
991,-19.844396397548746
992,-19.831740620983428
